variableSide,hypotenuse,Start Value:1.0
7001,7001.03,
7051,7051.03,
7101,7101.03,
7151,7151.03,
7201,7201.03,
7251,7251.03,
7301,7301.03,
7351,7351.03,
7401,7401.03,
7451,7451.03,
7501,7501.03,
7551,7551.03,
7601,7601.03,
7651,7651.03,
7701,7701.03,
7751,7751.03,
7801,7801.03,
7851,7851.03,
7901,7901.03,
7951,7951.03,
8001,8001.02,
8051,8051.02,
8101,8101.02,
8151,8151.02,
8201,8201.02,
8251,8251.02,
8301,8301.02,
8351,8351.02,
8401,8401.02,
8451,8451.02,
8501,8501.02,
8551,8551.02,
8601,8601.02,
8651,8651.02,
8701,8701.02,
8751,8751.02,
8801,8801.02,
8851,8851.02,
8901,8901.02,
8951,8951.02,
9001,9001.02,
9051,9051.02,
9101,9101.02,
9151,9151.02,
9201,9201.02,
9251,9251.02,
9301,9301.02,
9351,9351.02,
9401,9401.02,
9451,9451.02,
9501,9501.02,
9551,9551.02,
9601,9601.02,
9651,9651.02,
9701,9701.02,
9751,9751.02,
9801,9801.02,
9851,9851.02,
9901,9901.02,
9951,9951.02,
10001,10001.02,
10051,10051.02,
10101,10101.02,
10151,10151.02,
10201,10201.02,
10251,10251.02,
10301,10301.02,
10351,10351.02,
10401,10401.02,
10451,10451.02,
10501,10501.02,
10551,10551.02,
10601,10601.02,
10651,10651.02,
10701,10701.02,
10751,10751.02,
10801,10801.02,
10851,10851.02,
10901,10901.02,
10951,10951.02,
11001,11001.02,
11051,11051.02,
11101,11101.02,
11151,11151.02,
11201,11201.02,
11251,11251.02,
11301,11301.02,
11351,11351.02,
11401,11401.02,
11451,11451.02,
11501,11501.02,
11551,11551.02,
11601,11601.02,
11651,11651.02,
11701,11701.02,
11751,11751.02,
11801,11801.02,
11851,11851.02,
11901,11901.02,
11951,11951.02,
12001,12001.02,
12051,12051.02,
12101,12101.02,
12151,12151.02,
12201,12201.02,
12251,12251.02,
12301,12301.02,
12351,12351.02,
12401,12401.02,
12451,12451.02,
12501,12501.02,
12551,12551.02,
12601,12601.02,
12651,12651.02,
12701,12701.02,
12751,12751.02,
12801,12801.02,
12851,12851.02,
12901,12901.02,
12951,12951.02,
13001,13001.02,
13051,13051.02,
13101,13101.02,
13151,13151.02,
13201,13201.02,
13251,13251.02,
13301,13301.02,
13351,13351.01,
13401,13401.01,
13451,13451.01,
13501,13501.01,
13551,13551.01,
13601,13601.01,
13651,13651.01,
13701,13701.01,
13751,13751.01,
13801,13801.01,
13851,13851.01,
13901,13901.01,
13951,13951.01,
14001,14001.01,
14051,14051.01,
14101,14101.01,
14151,14151.01,
14201,14201.01,
14251,14251.01,
14301,14301.01,
14351,14351.01,
14401,14401.01,
14451,14451.01,
14501,14501.01,
14551,14551.01,
14601,14601.01,
14651,14651.01,
14701,14701.01,
14751,14751.01,
14801,14801.01,
14851,14851.01,
14901,14901.01,
14951,14951.01,
15001,15001.01,
15051,15051.01,
15101,15101.01,
15151,15151.01,
15201,15201.01,
15251,15251.01,
15301,15301.01,
15351,15351.01,
15401,15401.01,
15451,15451.01,
15501,15501.01,
15551,15551.01,
15601,15601.01,
15651,15651.01,
15701,15701.01,
15751,15751.01,
15801,15801.01,
15851,15851.01,
15901,15901.01,
15951,15951.01,
16001,16001.01,
16051,16051.01,
16101,16101.01,
16151,16151.01,
16201,16201.01,
16251,16251.01,
16301,16301.01,
16351,16351.01,
16401,16401.01,
16451,16451.01,
16501,16501.01,
16551,16551.01,
16601,16601.01,
16651,16651.01,
16701,16701.01,
16751,16751.01,
16801,16801.01,
16851,16851.01,
16901,16901.01,
16951,16951.01,
17001,17001.01,
17051,17051.01,
17101,17101.01,
17151,17151.01,
17201,17201.01,
17251,17251.01,
17301,17301.01,
17351,17351.01,
17401,17401.01,
17451,17451.01,
17501,17501.01,
17551,17551.01,
17601,17601.01,
17651,17651.01,
17701,17701.01,
17751,17751.01,
17801,17801.01,
17851,17851.01,
17901,17901.01,
17951,17951.01,
18001,18001.01,
18051,18051.01,
18101,18101.01,
18151,18151.01,
18201,18201.01,
18251,18251.01,
18301,18301.01,
18351,18351.01,
18401,18401.01,
18451,18451.01,
18501,18501.01,
18551,18551.01,
18601,18601.01,
18651,18651.01,
18701,18701.01,
18751,18751.01,
18801,18801.01,
18851,18851.01,
18901,18901.01,
18951,18951.01,
19001,19001.01,
19051,19051.01,
19101,19101.01,
19151,19151.01,
19201,19201.01,
19251,19251.01,
19301,19301.01,
19351,19351.01,
19401,19401.01,
19451,19451.01,
19501,19501.01,
19551,19551.01,
19601,19601.01,
19651,19651.01,
19701,19701.01,
19751,19751.01,
19801,19801.01,
19851,19851.01,
19901,19901.01,
19951,19951.01,
20001,20001.01,
20051,20051.01,
20101,20101.01,
20151,20151.01,
20201,20201.01,
20251,20251.01,
20301,20301.01,
20351,20351.01,
20401,20401.01,
20451,20451.01,
20501,20501.01,
20551,20551.01,
20601,20601.01,
20651,20651.01,
20701,20701.01,
20751,20751.01,
20801,20801.01,
20851,20851.01,
20901,20901.01,
20951,20951.01,
21001,21001.01,
21051,21051.01,
21101,21101.01,
21151,21151.01,
21201,21201.01,
21251,21251.01,
21301,21301.01,
21351,21351.01,
21401,21401.01,
21451,21451.01,
21501,21501.01,
21551,21551.01,
21601,21601.01,
21651,21651.01,
21701,21701.01,
21751,21751.01,
21801,21801.01,
21851,21851.01,
21901,21901.01,
21951,21951.01,
22001,22001.01,
22051,22051.01,
22101,22101.01,
22151,22151.01,
22201,22201.01,
22251,22251.01,
22301,22301.01,
22351,22351.01,
22401,22401.01,
22451,22451.01,
22501,22501.01,
22551,22551.01,
22601,22601.01,
22651,22651.01,
22701,22701.01,
22751,22751.01,
22801,22801.01,
22851,22851.01,
22901,22901.01,
22951,22951.01,
23001,23001.01,
23051,23051.01,
23101,23101.01,
23151,23151.01,
23201,23201.01,
23251,23251.01,
23301,23301.01,
23351,23351.01,
23401,23401.01,
23451,23451.01,
23501,23501.01,
23551,23551.01,
23601,23601.01,
23651,23651.01,
23701,23701.01,
23751,23751.01,
23801,23801.01,
23851,23851.01,
23901,23901.01,
23951,23951.01,
24001,24001.01,
24051,24051.01,
24101,24101.01,
24151,24151.01,
24201,24201.01,
24251,24251.01,
24301,24301.01,
24351,24351.01,
24401,24401.01,
24451,24451.01,
24501,24501.01,
24551,24551.01,
24601,24601.01,
24651,24651.01,
24701,24701.01,
24751,24751.01,
24801,24801.01,
24851,24851.01,
24901,24901.01,
24951,24951.01,
25001,25001.01,
25051,25051.01,
25101,25101.01,
25151,25151.01,
25201,25201.01,
25251,25251.01,
25301,25301.01,
25351,25351.01,
25401,25401.01,
25451,25451.01,
25501,25501.01,
25551,25551.01,
25601,25601.01,
25651,25651.01,
25701,25701.01,
25751,25751.01,
25801,25801.01,
25851,25851.01,
25901,25901.01,
25951,25951.01,
26001,26001.01,
26051,26051.01,
26101,26101.01,
26151,26151.01,
26201,26201.01,
26251,26251.01,
26301,26301.01,
26351,26351.01,
26401,26401.01,
26451,26451.01,
26501,26501.01,
26551,26551.01,
26601,26601.01,
26651,26651.01,
26701,26701.01,
26751,26751.01,
26801,26801.01,
26851,26851.01,
26901,26901.01,
26951,26951.01,
27001,27001.01,
27051,27051.01,
27101,27101.01,
27151,27151.01,
27201,27201.01,
27251,27251.01,
27301,27301.01,
27351,27351.01,
27401,27401.01,
27451,27451.01,
27501,27501.01,
27551,27551.01,
27601,27601.01,
27651,27651.01,
27701,27701.01,
27751,27751.01,
27801,27801.01,
27851,27851.01,
27901,27901.01,
27951,27951.01,
28001,28001.01,
28051,28051.01,
28101,28101.01,
28151,28151.01,
28201,28201.01,
28251,28251.01,
28301,28301.01,
28351,28351.01,
28401,28401.01,
28451,28451.01,
28501,28501.01,
28551,28551.01,
28601,28601.01,
28651,28651.01,
28701,28701.01,
28751,28751.01,
28801,28801.01,
28851,28851.01,
28901,28901.01,
28951,28951.01,
29001,29001.01,
29051,29051.01,
29101,29101.01,
29151,29151.01,
29201,29201.01,
29251,29251.01,
29301,29301.01,
29351,29351.01,
29401,29401.01,
29451,29451.01,
29501,29501.01,
29551,29551.01,
29601,29601.01,
29651,29651.01,
29701,29701.01,
29751,29751.01,
29801,29801.01,
29851,29851.01,
29901,29901.01,
29951,29951.01,
30001,30001.01,
30051,30051.01,
30101,30101.01,
30151,30151.01,
30201,30201.01,
30251,30251.01,
30301,30301.01,
30351,30351.01,
30401,30401.01,
30451,30451.01,
30501,30501.01,
30551,30551.01,
30601,30601.01,
30651,30651.01,
30701,30701.01,
30751,30751.01,
30801,30801.01,
30851,30851.01,
30901,30901.01,
30951,30951.01,
31001,31001.01,
31051,31051.01,
31101,31101.01,
31151,31151.01,
31201,31201.01,
31251,31251.01,
31301,31301.01,
31351,31351.01,
31401,31401.01,
31451,31451.01,
31501,31501.01,
31551,31551.01,
31601,31601.01,
31651,31651.01,
31701,31701.01,
31751,31751.01,
31801,31801.01,
31851,31851.01,
31901,31901.01,
31951,31951.01,
32001,32001.01,
32051,32051.01,
32101,32101.01,
32151,32151.01,
32201,32201.01,
32251,32251.01,
32301,32301.01,
32351,32351.01,
32401,32401.01,
32451,32451.01,
32501,32501.01,
32551,32551.01,
32601,32601.01,
32651,32651.01,
32701,32701.01,
32751,32751.01,
32801,32801.01,
32851,32851.01,
32901,32901.01,
32951,32951.01,
33001,33001.01,
33051,33051.01,
33101,33101.01,
33151,33151.01,
33201,33201.01,
33251,33251.01,
33301,33301.01,
33351,33351.01,
33401,33401.01,
33451,33451.01,
33501,33501.01,
33551,33551.01,
33601,33601.01,
33651,33651.01,
33701,33701.01,
33751,33751.01,
33801,33801.01,
33851,33851.01,
33901,33901.01,
33951,33951.01,
34001,34001.01,
34051,34051.01,
34101,34101.01,
34151,34151.01,
34201,34201.01,
34251,34251.01,
34301,34301.01,
34351,34351.01,
34401,34401.01,
34451,34451.01,
34501,34501.01,
34551,34551.01,
34601,34601.01,
34651,34651.01,
34701,34701.01,
34751,34751.01,
34801,34801.01,
34851,34851.01,
34901,34901.01,
34951,34951.01,
35001,35001.01,
35051,35051.01,
35101,35101.01,
35151,35151.01,
35201,35201.01,
35251,35251.01,
35301,35301.01,
35351,35351.01,
35401,35401.01,
35451,35451.01,
35501,35501.01,
35551,35551.01,
35601,35601.01,
35651,35651.01,
35701,35701.01,
35751,35751.01,
35801,35801.01,
35851,35851.01,
35901,35901.01,
35951,35951.01,
36001,36001.01,
36051,36051.01,
36101,36101.01,
36151,36151.01,
36201,36201.01,
36251,36251.01,
36301,36301.01,
36351,36351.01,
36401,36401.01,
36451,36451.01,
36501,36501.01,
36551,36551.01,
36601,36601.01,
36651,36651.01,
36701,36701.01,
36751,36751.01,
36801,36801.01,
36851,36851.01,
36901,36901.01,
36951,36951.01,
37001,37001.01,
37051,37051.01,
37101,37101.01,
37151,37151.01,
37201,37201.01,
37251,37251.01,
37301,37301.01,
37351,37351.01,
37401,37401.01,
37451,37451.01,
37501,37501.01,
37551,37551.01,
37601,37601.01,
37651,37651.01,
37701,37701.01,
37751,37751.01,
37801,37801.01,
37851,37851.01,
37901,37901.01,
37951,37951.01,
38001,38001.01,
38051,38051.01,
38101,38101.01,
38151,38151.01,
38201,38201.01,
38251,38251.01,
38301,38301.01,
38351,38351.01,
38401,38401.01,
38451,38451.01,
38501,38501.01,
38551,38551.01,
38601,38601.01,
38651,38651.01,
38701,38701.01,
38751,38751.01,
38801,38801.01,
38851,38851.01,
38901,38901.01,
38951,38951.01,
39001,39001.01,
39051,39051.01,
39101,39101.01,
39151,39151.01,
39201,39201.01,
39251,39251.01,
39301,39301.01,
39351,39351.01,
39401,39401.01,
39451,39451.01,
39501,39501.01,
39551,39551.01,
39601,39601.01,
39651,39651.01,
39701,39701.01,
39751,39751.01,
39801,39801.01,
39851,39851.01,
39901,39901.01,
39951,39951.01,
40001,40001,
40051,40051,
40101,40101,
40151,40151,
40201,40201,
40251,40251,
40301,40301,
40351,40351,
40401,40401,
40451,40451,
40501,40501,
40551,40551,
40601,40601,
40651,40651,
40701,40701,
40751,40751,
40801,40801,
40851,40851,
40901,40901,
40951,40951,
41001,41001,
41051,41051,
41101,41101,
41151,41151,
41201,41201,
41251,41251,
41301,41301,
41351,41351,
41401,41401,
41451,41451,
41501,41501,
41551,41551,
41601,41601,
41651,41651,
41701,41701,
41751,41751,
41801,41801,
41851,41851,
41901,41901,
41951,41951,
42001,42001,
42051,42051,
42101,42101,
42151,42151,
42201,42201,
42251,42251,
42301,42301,
42351,42351,
42401,42401,
42451,42451,
42501,42501,
42551,42551,
42601,42601,
42651,42651,
42701,42701,
42751,42751,
42801,42801,
42851,42851,
42901,42901,
42951,42951,
43001,43001,
43051,43051,
43101,43101,
43151,43151,
43201,43201,
43251,43251,
43301,43301,
43351,43351,
43401,43401,
43451,43451,
43501,43501,
43551,43551,
43601,43601,
43651,43651,
43701,43701,
43751,43751,
43801,43801,
43851,43851,
43901,43901,
43951,43951,
44001,44001,
44051,44051,
44101,44101,
44151,44151,
44201,44201,
44251,44251,
44301,44301,
44351,44351,
44401,44401,
44451,44451,
44501,44501,
44551,44551,
44601,44601,
44651,44651,
44701,44701,
44751,44751,
44801,44801,
44851,44851,
44901,44901,
44951,44951,
45001,45001,
45051,45051,
45101,45101,
45151,45151,
45201,45201,
45251,45251,
45301,45301,
45351,45351,
45401,45401,
45451,45451,
45501,45501,
45551,45551,
45601,45601,
45651,45651,
45701,45701,
45751,45751,
45801,45801,
45851,45851,
45901,45901,
45951,45951,
46001,46001,
46051,46051,
46101,46101,
46151,46151,
46201,46201,
46251,46251,
46301,46301,
46351,46351,
46401,46401,
46451,46451,
46501,46501,
46551,46551,
46601,46601,
46651,46651,
46701,46701,
46751,46751,
46801,46801,
46851,46851,
46901,46901,
46951,46951,
47001,47001,
47051,47051,
47101,47101,
47151,47151,
47201,47201,
47251,47251,
47301,47301,
47351,47351,
47401,47401,
47451,47451,
47501,47501,
47551,47551,
47601,47601,
47651,47651,
47701,47701,
47751,47751,
47801,47801,
47851,47851,
47901,47901,
47951,47951,
48001,48001,
48051,48051,
48101,48101,
48151,48151,
48201,48201,
48251,48251,
48301,48301,
48351,48351,
48401,48401,
48451,48451,
48501,48501,
48551,48551,
48601,48601,
48651,48651,
48701,48701,
48751,48751,
48801,48801,
48851,48851,
48901,48901,
48951,48951,
49001,49001,
49051,49051,
49101,49101,
49151,49151,
49201,49201,
49251,49251,
49301,49301,
49351,49351,
49401,49401,
49451,49451,
49501,49501,
49551,49551,
49601,49601,
49651,49651,
49701,49701,
49751,49751,
49801,49801,
49851,49851,
49901,49901,
49951,49951,
50001,50001,
50051,50051,
50101,50101,
50151,50151,
50201,50201,
50251,50251,
50301,50301,
50351,50351,
50401,50401,
50451,50451,
50501,50501,
50551,50551,
50601,50601,
50651,50651,
50701,50701,
50751,50751,
50801,50801,
50851,50851,
50901,50901,
50951,50951,
51001,51001,
51051,51051,
51101,51101,
51151,51151,
51201,51201,
51251,51251,
51301,51301,
51351,51351,
51401,51401,
51451,51451,
51501,51501,
51551,51551,
51601,51601,
51651,51651,
51701,51701,
51751,51751,
51801,51801,
51851,51851,
51901,51901,
51951,51951,
52001,52001,
52051,52051,
52101,52101,
52151,52151,
52201,52201,
52251,52251,
52301,52301,
52351,52351,
52401,52401,
52451,52451,
52501,52501,
52551,52551,
52601,52601,
52651,52651,
52701,52701,
52751,52751,
52801,52801,
52851,52851,
52901,52901,
52951,52951,
53001,53001,
53051,53051,
53101,53101,
53151,53151,
53201,53201,
53251,53251,
53301,53301,
53351,53351,
53401,53401,
53451,53451,
53501,53501,
53551,53551,
53601,53601,
53651,53651,
53701,53701,
53751,53751,
53801,53801,
53851,53851,
53901,53901,
53951,53951,
54001,54001,
54051,54051,
54101,54101,
54151,54151,
54201,54201,
54251,54251,
54301,54301,
54351,54351,
54401,54401,
54451,54451,
54501,54501,
54551,54551,
54601,54601,
54651,54651,
54701,54701,
54751,54751,
54801,54801,
54851,54851,
54901,54901,
54951,54951,
55001,55001,
55051,55051,
55101,55101,
55151,55151,
55201,55201,
55251,55251,
55301,55301,
55351,55351,
55401,55401,
55451,55451,
55501,55501,
55551,55551,
55601,55601,
55651,55651,
55701,55701,
55751,55751,
55801,55801,
55851,55851,
55901,55901,
55951,55951,
56001,56001,
56051,56051,
56101,56101,
56151,56151,
56201,56201,
56251,56251,
56301,56301,
56351,56351,
56401,56401,
56451,56451,
56501,56501,
56551,56551,
56601,56601,
56651,56651,
56701,56701,
56751,56751,
56801,56801,
56851,56851,
56901,56901,
56951,56951,
57001,57001,
57051,57051,
57101,57101,
57151,57151,
57201,57201,
57251,57251,
57301,57301,
57351,57351,
57401,57401,
57451,57451,
57501,57501,
57551,57551,
57601,57601,
57651,57651,
57701,57701,
57751,57751,
57801,57801,
57851,57851,
57901,57901,
57951,57951,
58001,58001,
58051,58051,
58101,58101,
58151,58151,
58201,58201,
58251,58251,
58301,58301,
58351,58351,
58401,58401,
58451,58451,
58501,58501,
58551,58551,
58601,58601,
58651,58651,
58701,58701,
58751,58751,
58801,58801,
58851,58851,
58901,58901,
58951,58951,
59001,59001,
59051,59051,
59101,59101,
59151,59151,
59201,59201,
59251,59251,
59301,59301,
59351,59351,
59401,59401,
59451,59451,
59501,59501,
59551,59551,
59601,59601,
59651,59651,
59701,59701,
59751,59751,
59801,59801,
59851,59851,
59901,59901,
59951,59951,
60001,60001,
60051,60051,
60101,60101,
60151,60151,
60201,60201,
60251,60251,
60301,60301,
60351,60351,
60401,60401,
60451,60451,
60501,60501,
60551,60551,
60601,60601,
60651,60651,
60701,60701,
60751,60751,
60801,60801,
60851,60851,
60901,60901,
60951,60951,
61001,61001,
61051,61051,
61101,61101,
61151,61151,
61201,61201,
61251,61251,
61301,61301,
61351,61351,
61401,61401,
61451,61451,
61501,61501,
61551,61551,
61601,61601,
61651,61651,
61701,61701,
61751,61751,
61801,61801,
61851,61851,
61901,61901,
61951,61951,
62001,62001,
62051,62051,
62101,62101,
62151,62151,
62201,62201,
62251,62251,
62301,62301,
62351,62351,
62401,62401,
62451,62451,
62501,62501,
62551,62551,
62601,62601,
62651,62651,
62701,62701,
62751,62751,
62801,62801,
62851,62851,
62901,62901,
62951,62951,
63001,63001,
63051,63051,
63101,63101,
63151,63151,
63201,63201,
63251,63251,
63301,63301,
63351,63351,
63401,63401,
63451,63451,
63501,63501,
63551,63551,
63601,63601,
63651,63651,
63701,63701,
63751,63751,
63801,63801,
63851,63851,
63901,63901,
63951,63951,
64001,64001,
64051,64051,
64101,64101,
64151,64151,
64201,64201,
64251,64251,
64301,64301,
64351,64351,
64401,64401,
64451,64451,
64501,64501,
64551,64551,
64601,64601,
64651,64651,
64701,64701,
64751,64751,
64801,64801,
64851,64851,
64901,64901,
64951,64951,
65001,65001,
65051,65051,
65101,65101,
65151,65151,
65201,65201,
65251,65251,
65301,65301,
65351,65351,
65401,65401,
65451,65451,
65501,65501,
65551,65551,
65601,65601,
65651,65651,
65701,65701,
65751,65751,
65801,65801,
65851,65851,
65901,65901,
65951,65951,
66001,66001,
66051,66051,
66101,66101,
66151,66151,
66201,66201,
66251,66251,
66301,66301,
66351,66351,
66401,66401,
66451,66451,
66501,66501,
66551,66551,
66601,66601,
66651,66651,
66701,66701,
66751,66751,
66801,66801,
66851,66851,
66901,66901,
66951,66951,
67001,67001,
67051,67051,
67101,67101,
67151,67151,
67201,67201,
67251,67251,
67301,67301,
67351,67351,
67401,67401,
67451,67451,
67501,67501,
67551,67551,
67601,67601,
67651,67651,
67701,67701,
67751,67751,
67801,67801,
67851,67851,
67901,67901,
67951,67951,
68001,68001,
68051,68051,
68101,68101,
68151,68151,
68201,68201,
68251,68251,
68301,68301,
68351,68351,
68401,68401,
68451,68451,
68501,68501,
68551,68551,
68601,68601,
68651,68651,
68701,68701,
68751,68751,
68801,68801,
68851,68851,
68901,68901,
68951,68951,
69001,69001,
69051,69051,
69101,69101,
69151,69151,
69201,69201,
69251,69251,
69301,69301,
69351,69351,
69401,69401,
69451,69451,
69501,69501,
69551,69551,
69601,69601,
69651,69651,
69701,69701,
69751,69751,
69801,69801,
69851,69851,
69901,69901,
69951,69951,
70001,70001,
70051,70051,
70101,70101,
70151,70151,
70201,70201,
70251,70251,
70301,70301,
70351,70351,
70401,70401,
70451,70451,
70501,70501,
70551,70551,
70601,70601,
70651,70651,
70701,70701,
70751,70751,
70801,70801,
70851,70851,
70901,70901,
70951,70951,
71001,71001,
71051,71051,
71101,71101,
71151,71151,
71201,71201,
71251,71251,
71301,71301,
71351,71351,
71401,71401,
71451,71451,
71501,71501,
71551,71551,
71601,71601,
71651,71651,
71701,71701,
71751,71751,
71801,71801,
71851,71851,
71901,71901,
71951,71951,
72001,72001,
72051,72051,
72101,72101,
72151,72151,
72201,72201,
72251,72251,
72301,72301,
72351,72351,
72401,72401,
72451,72451,
72501,72501,
72551,72551,
72601,72601,
72651,72651,
72701,72701,
72751,72751,
72801,72801,
72851,72851,
72901,72901,
72951,72951,
73001,73001,
73051,73051,
73101,73101,
73151,73151,
73201,73201,
73251,73251,
73301,73301,
73351,73351,
73401,73401,
73451,73451,
73501,73501,
73551,73551,
73601,73601,
73651,73651,
73701,73701,
73751,73751,
73801,73801,
73851,73851,
73901,73901,
73951,73951,
74001,74001,
74051,74051,
74101,74101,
74151,74151,
74201,74201,
74251,74251,
74301,74301,
74351,74351,
74401,74401,
74451,74451,
74501,74501,
74551,74551,
74601,74601,
74651,74651,
74701,74701,
74751,74751,
74801,74801,
74851,74851,
74901,74901,
74951,74951,
75001,75001,
75051,75051,
75101,75101,
75151,75151,
75201,75201,
75251,75251,
75301,75301,
75351,75351,
75401,75401,
75451,75451,
75501,75501,
75551,75551,
75601,75601,
75651,75651,
75701,75701,
75751,75751,
75801,75801,
75851,75851,
75901,75901,
75951,75951,
76001,76001,
76051,76051,
76101,76101,
76151,76151,
76201,76201,
76251,76251,
76301,76301,
76351,76351,
76401,76401,
76451,76451,
76501,76501,
76551,76551,
76601,76601,
76651,76651,
76701,76701,
76751,76751,
76801,76801,
76851,76851,
76901,76901,
76951,76951,
77001,77001,
77051,77051,
77101,77101,
77151,77151,
77201,77201,
77251,77251,
77301,77301,
77351,77351,
77401,77401,
77451,77451,
77501,77501,
77551,77551,
77601,77601,
77651,77651,
77701,77701,
77751,77751,
77801,77801,
77851,77851,
77901,77901,
77951,77951,
78001,78001,
78051,78051,
78101,78101,
78151,78151,
78201,78201,
78251,78251,
78301,78301,
78351,78351,
78401,78401,
78451,78451,
78501,78501,
78551,78551,
78601,78601,
78651,78651,
78701,78701,
78751,78751,
78801,78801,
78851,78851,
78901,78901,
78951,78951,
79001,79001,
79051,79051,
79101,79101,
79151,79151,
79201,79201,
79251,79251,
79301,79301,
79351,79351,
79401,79401,
79451,79451,
79501,79501,
79551,79551,
79601,79601,
79651,79651,
79701,79701,
79751,79751,
79801,79801,
79851,79851,
79901,79901,
79951,79951,
80001,80001,
80051,80051,
80101,80101,
80151,80151,
80201,80201,
80251,80251,
80301,80301,
80351,80351,
80401,80401,
80451,80451,
80501,80501,
80551,80551,
80601,80601,
80651,80651,
80701,80701,
80751,80751,
80801,80801,
80851,80851,
80901,80901,
80951,80951,
81001,81001,
81051,81051,
81101,81101,
81151,81151,
81201,81201,
81251,81251,
81301,81301,
81351,81351,
81401,81401,
81451,81451,
81501,81501,
81551,81551,
81601,81601,
81651,81651,
81701,81701,
81751,81751,
81801,81801,
81851,81851,
81901,81901,
81951,81951,
82001,82001,
82051,82051,
82101,82101,
82151,82151,
82201,82201,
82251,82251,
82301,82301,
82351,82351,
82401,82401,
82451,82451,
82501,82501,
82551,82551,
82601,82601,
82651,82651,
82701,82701,
82751,82751,
82801,82801,
82851,82851,
82901,82901,
82951,82951,
83001,83001,
83051,83051,
83101,83101,
83151,83151,
83201,83201,
83251,83251,
83301,83301,
83351,83351,
83401,83401,
83451,83451,
83501,83501,
83551,83551,
83601,83601,
83651,83651,
83701,83701,
83751,83751,
83801,83801,
83851,83851,
83901,83901,
83951,83951,
84001,84001,
84051,84051,
84101,84101,
84151,84151,
84201,84201,
84251,84251,
84301,84301,
84351,84351,
84401,84401,
84451,84451,
84501,84501,
84551,84551,
84601,84601,
84651,84651,
84701,84701,
84751,84751,
84801,84801,
84851,84851,
84901,84901,
84951,84951,
85001,85001,
85051,85051,
85101,85101,
85151,85151,
85201,85201,
85251,85251,
85301,85301,
85351,85351,
85401,85401,
85451,85451,
85501,85501,
85551,85551,
85601,85601,
85651,85651,
85701,85701,
85751,85751,
85801,85801,
85851,85851,
85901,85901,
85951,85951,
86001,86001,
86051,86051,
86101,86101,
86151,86151,
86201,86201,
86251,86251,
86301,86301,
86351,86351,
86401,86401,
86451,86451,
86501,86501,
86551,86551,
86601,86601,
86651,86651,
86701,86701,
86751,86751,
86801,86801,
86851,86851,
86901,86901,
86951,86951,
87001,87001,
87051,87051,
87101,87101,
87151,87151,
87201,87201,
87251,87251,
87301,87301,
87351,87351,
87401,87401,
87451,87451,
87501,87501,
87551,87551,
87601,87601,
87651,87651,
87701,87701,
87751,87751,
87801,87801,
87851,87851,
87901,87901,
87951,87951,
88001,88001,
88051,88051,
88101,88101,
88151,88151,
88201,88201,
88251,88251,
88301,88301,
